transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000193322.8	423	27	412	20
ENST00000193391.8	0	0	0	0
ENST00000194130.7	0	0	0	0
ENST00000194152.4	4	0	3	0
ENST00000194155.7	30	0	29	0
ENST00000194214.9	553	32	532	22
ENST00000194530.8	58	12	165	16
ENST00000194900.8	276	20	264	14
ENST00000196061.5	1887	585	1856	467
ENST00000196371.10	2128	512	2107	396
ENST00000196489.4	132	6	89	3
ENST00000197268.13	220	12	216	7
ENST00000198536.7	0	0	0	0
ENST00000198767.11	545	97	1343	160
ENST00000198801.10	0	1	0	0
ENST00000199280.3	0	0	0	0
ENST00000199320.9	705	85	706	56
ENST00000199389.11	1376	350	1510	279
ENST00000199447.9	0	0	0	0
ENST00000199448.9	405	34	395	17
ENST00000199708.3	22	0	22	0
ENST00000199764.7	0	0	0	0
ENST00000199814.9	787	112	840	86
ENST00000199936.9	32	0	32	0
ENST00000200135.8	840	58	827	46
ENST00000200453.6	91	107	81	61
ENST00000200457.9	920	340	901	271
ENST00000200557.11	47	4	47	4
ENST00000200639.9	1594	136	1546	105
ENST00000200652.4	324	20	260	18
ENST00000200676.8	5	0	5	0
ENST00000200691.5	0	0	0	0
ENST00000201031.3	10	0	10	0
ENST00000201586.7	3	0	2	0
ENST00000201647.11	16	0	15	0
ENST00000201979.3	0	0	0	0
ENST00000202017.6	281	41	284	31
ENST00000202556.14	39	7	42	6
ENST00000202625.7	0	1	0	0
ENST00000202677.12	108	7	106	9
ENST00000202816.5	557	84	599	64
ENST00000202917.10	8	0	5	0
ENST00000202967.4	10	0	10	0
ENST00000203001.7	504	35	504	28
ENST00000203166.10	376	100	381	83
ENST00000203407.6	1759	701	1739	567
ENST00000203556.9	176	34	177	25
ENST00000203629.3	0	1	0	1
ENST00000203630.9	788	271	775	217
ENST00000203664.10	56	2	51	2
ENST00000204517.11	454	75	434	62
ENST00000204549.9	212	44	202	36
ENST00000204566.7	793	139	782	102
ENST00000204604.5	1	0	1	0
ENST00000204679.9	318	62	317	50
ENST00000204726.8	862	238	854	187
ENST00000204961.5	104	6	93	2
ENST00000205061.9	2487	320	2445	250
ENST00000205194.5	203	31	197	25
ENST00000205214.11	232	39	222	29
ENST00000205402.10	1602	260	1584	182
ENST00000205557.11	1	3	19	3
ENST00000205636.4	561	33	559	23
ENST00000205948.11	0	0	0	0
ENST00000206020.8	554	81	528	54
ENST00000206262.2	6	0	11	0
ENST00000206423.7	680	162	663	132
ENST00000206451.11	806	117	785	88
ENST00000206474.11	615	97	647	79
ENST00000206513.5	0	0	0	0
ENST00000206542.9	507	121	475	89
ENST00000206595.11	531	42	630	37
ENST00000206765.11	106	24	103	21
ENST00000207457.8	0	0	0	0
ENST00000207549.8	464	110	461	84
ENST00000207870.8	221	19	223	18
ENST00000209668.3	0	0	0	0
ENST00000209718.8	0	4	0	0
ENST00000209728.9	1564	314	1520	234
ENST00000209873.9	810	114	801	87
ENST00000209875.9	865	146	901	117
ENST00000209884.5	346	36	345	25
ENST00000209929.10	0	0	0	0
ENST00000210060.12	498	104	28	0
ENST00000210187.11	75	38	69	28
ENST00000210313.8	1487	165	1456	120
ENST00000210444.6	923	138	866	99
ENST00000210633.3	16	19	15	15
ENST00000211076.5	0	0	0	0
ENST00000211122.4	0	0	0	0
ENST00000211287.9	2	0	2	0
ENST00000211314.5	335	43	327	30
ENST00000211379.9	1832	319	1785	251
ENST00000211413.10	2	2	2	2
ENST00000211936.10	229	19	148	13
ENST00000211998.10	2822	904	2793	708
ENST00000212015.11	653	55	643	46
ENST00000212355.9	135	11	133	10
ENST00000214869.7	391	53	388	43
ENST00000215057.7	61	49	54	39
ENST00000215061.9	67	5	55	5
ENST00000215071.8	819	246	981	226
ENST00000215095.11	24	4	19	3
ENST00000215115.4	209	74	195	60
ENST00000215368.4	7	4	7	3
ENST00000215375.7	560	225	546	183
ENST00000215530.6	7	0	7	0
ENST00000215531.6	1	0	1	0
ENST00000215539.4	0	0	0	0
ENST00000215565.3	486	351	463	299
ENST00000215567.10	625	141	1056	155
ENST00000215570.8	473	153	470	133
ENST00000215574.9	374	125	358	99
ENST00000215582.8	536	110	505	85
ENST00000215631.9	295	51	290	42
ENST00000215637.8	0	0	0	0
ENST00000215659.13	482	221	405	129
